prompt_id,prompt_text,template_type,category,base_prompt_id,generation_method
base_0001,a photo of a dog,photo_of_object,certain,,template: a photo of a [object]
base_0002,a photo of a cat,photo_of_object,certain,,template: a photo of a [object]
base_0003,a photo of a chair,photo_of_object,certain,,template: a photo of a [object]
base_0004,a photo of a table,photo_of_object,certain,,template: a photo of a [object]
base_0005,a photo of a cup,photo_of_object,certain,,template: a photo of a [object]
base_0006,a photo of a bottle,photo_of_object,certain,,template: a photo of a [object]
base_0007,a photo of a bicycle,photo_of_object,certain,,template: a photo of a [object]
base_0008,a photo of a car,photo_of_object,certain,,template: a photo of a [object]
base_0009,a photo of a rack,photo_of_object,certain,,template: a photo of a [object]
base_0010,a photo of an apple,photo_of_object,certain,,template: a photo of a [object]
base_0011,a photo of a banana,photo_of_object,certain,,template: a photo of a [object]
base_0012,a photo of a book,photo_of_object,certain,,template: a photo of a [object]
base_0013,a photo of a phone,photo_of_object,certain,,template: a photo of a [object]
base_0014,a photo of a laptop,photo_of_object,certain,,template: a photo of a [object]
base_0015,a photo of a camera,photo_of_object,certain,,template: a photo of a [object]
base_0016,a photo of a backpack,photo_of_object,certain,,template: a photo of a [object]
base_0017,a photo of a television,photo_of_object,certain,,template: a photo of a [object]
base_0018,a red dog,color_object,certain,,template: a [color] [object]
base_0019,a red cat,color_object,certain,,template: a [color] [object]
base_0020,a red chair,color_object,certain,,template: a [color] [object]
base_0021,a red table,color_object,certain,,template: a [color] [object]
base_0022,a red cup,color_object,certain,,template: a [color] [object]
base_0023,a red bottle,color_object,certain,,template: a [color] [object]
base_0024,a red bicycle,color_object,certain,,template: a [color] [object]
base_0025,a red car,color_object,certain,,template: a [color] [object]
base_0026,a red rack,color_object,certain,,template: a [color] [object]
base_0027,a red apple,color_object,certain,,template: a [color] [object]
base_0028,a red banana,color_object,certain,,template: a [color] [object]
base_0029,a red book,color_object,certain,,template: a [color] [object]
base_0030,a red phone,color_object,certain,,template: a [color] [object]
base_0031,a red laptop,color_object,certain,,template: a [color] [object]
base_0032,a red camera,color_object,certain,,template: a [color] [object]
base_0033,a red backpack,color_object,certain,,template: a [color] [object]
base_0034,a red television,color_object,certain,,template: a [color] [object]
base_0035,a blue dog,color_object,certain,,template: a [color] [object]
base_0036,a blue cat,color_object,certain,,template: a [color] [object]
base_0037,a blue chair,color_object,certain,,template: a [color] [object]
base_0038,a blue table,color_object,certain,,template: a [color] [object]
base_0039,a blue cup,color_object,certain,,template: a [color] [object]
base_0040,a blue bottle,color_object,certain,,template: a [color] [object]
base_0041,a blue bicycle,color_object,certain,,template: a [color] [object]
base_0042,a blue car,color_object,certain,,template: a [color] [object]
base_0043,a blue rack,color_object,certain,,template: a [color] [object]
base_0044,a blue apple,color_object,certain,,template: a [color] [object]
base_0045,a blue banana,color_object,certain,,template: a [color] [object]
base_0046,a blue book,color_object,certain,,template: a [color] [object]
base_0047,a blue phone,color_object,certain,,template: a [color] [object]
base_0048,a blue laptop,color_object,certain,,template: a [color] [object]
base_0049,a blue camera,color_object,certain,,template: a [color] [object]
base_0050,a blue backpack,color_object,certain,,template: a [color] [object]
base_0051,a blue television,color_object,certain,,template: a [color] [object]
base_0052,a green dog,color_object,certain,,template: a [color] [object]
base_0053,a green cat,color_object,certain,,template: a [color] [object]
base_0054,a green chair,color_object,certain,,template: a [color] [object]
base_0055,a green table,color_object,certain,,template: a [color] [object]
base_0056,a green cup,color_object,certain,,template: a [color] [object]
base_0057,a green bottle,color_object,certain,,template: a [color] [object]
base_0058,a green bicycle,color_object,certain,,template: a [color] [object]
base_0059,a green car,color_object,certain,,template: a [color] [object]
base_0060,a green rack,color_object,certain,,template: a [color] [object]
base_0061,a green apple,color_object,certain,,template: a [color] [object]
base_0062,a green banana,color_object,certain,,template: a [color] [object]
base_0063,a green book,color_object,certain,,template: a [color] [object]
base_0064,a green phone,color_object,certain,,template: a [color] [object]
base_0065,a green laptop,color_object,certain,,template: a [color] [object]
base_0066,a green camera,color_object,certain,,template: a [color] [object]
base_0067,a green backpack,color_object,certain,,template: a [color] [object]
base_0068,a green television,color_object,certain,,template: a [color] [object]
base_0069,a yellow dog,color_object,certain,,template: a [color] [object]
base_0070,a yellow cat,color_object,certain,,template: a [color] [object]
base_0071,a yellow chair,color_object,certain,,template: a [color] [object]
base_0072,a yellow table,color_object,certain,,template: a [color] [object]
base_0073,a yellow cup,color_object,certain,,template: a [color] [object]
base_0074,a yellow bottle,color_object,certain,,template: a [color] [object]
base_0075,a yellow bicycle,color_object,certain,,template: a [color] [object]
base_0076,a yellow car,color_object,certain,,template: a [color] [object]
base_0077,a yellow rack,color_object,certain,,template: a [color] [object]
base_0078,a yellow apple,color_object,certain,,template: a [color] [object]
base_0079,a yellow banana,color_object,certain,,template: a [color] [object]
base_0080,a yellow book,color_object,certain,,template: a [color] [object]
base_0081,a yellow phone,color_object,certain,,template: a [color] [object]
base_0082,a yellow laptop,color_object,certain,,template: a [color] [object]
base_0083,a yellow camera,color_object,certain,,template: a [color] [object]
base_0084,a yellow backpack,color_object,certain,,template: a [color] [object]
base_0085,a yellow television,color_object,certain,,template: a [color] [object]
base_0086,a black dog,color_object,certain,,template: a [color] [object]
base_0087,a black cat,color_object,certain,,template: a [color] [object]
base_0088,a black chair,color_object,certain,,template: a [color] [object]
base_0089,a black table,color_object,certain,,template: a [color] [object]
base_0090,a black cup,color_object,certain,,template: a [color] [object]
base_0091,a black bottle,color_object,certain,,template: a [color] [object]
base_0092,a black bicycle,color_object,certain,,template: a [color] [object]
base_0093,a black car,color_object,certain,,template: a [color] [object]
base_0094,a black rack,color_object,certain,,template: a [color] [object]
base_0095,a black apple,color_object,certain,,template: a [color] [object]
base_0096,a black banana,color_object,certain,,template: a [color] [object]
base_0097,a black book,color_object,certain,,template: a [color] [object]
base_0098,a black phone,color_object,certain,,template: a [color] [object]
base_0099,a black laptop,color_object,certain,,template: a [color] [object]
base_0100,a black camera,color_object,certain,,template: a [color] [object]
base_0101,a black backpack,color_object,certain,,template: a [color] [object]
base_0102,a black television,color_object,certain,,template: a [color] [object]
base_0103,a white dog,color_object,certain,,template: a [color] [object]
base_0104,a white cat,color_object,certain,,template: a [color] [object]
base_0105,a white chair,color_object,certain,,template: a [color] [object]
base_0106,a white table,color_object,certain,,template: a [color] [object]
base_0107,a white cup,color_object,certain,,template: a [color] [object]
base_0108,a white bottle,color_object,certain,,template: a [color] [object]
base_0109,a white bicycle,color_object,certain,,template: a [color] [object]
base_0110,a white car,color_object,certain,,template: a [color] [object]
base_0111,a white rack,color_object,certain,,template: a [color] [object]
base_0112,a white apple,color_object,certain,,template: a [color] [object]
base_0113,a white banana,color_object,certain,,template: a [color] [object]
base_0114,a white book,color_object,certain,,template: a [color] [object]
base_0115,a white phone,color_object,certain,,template: a [color] [object]
base_0116,a white laptop,color_object,certain,,template: a [color] [object]
base_0117,a white camera,color_object,certain,,template: a [color] [object]
base_0118,a white backpack,color_object,certain,,template: a [color] [object]
base_0119,a white television,color_object,certain,,template: a [color] [object]
base_0120,a purple dog,color_object,certain,,template: a [color] [object]
base_0121,a purple cat,color_object,certain,,template: a [color] [object]
base_0122,a purple chair,color_object,certain,,template: a [color] [object]
base_0123,a purple table,color_object,certain,,template: a [color] [object]
base_0124,a purple cup,color_object,certain,,template: a [color] [object]
base_0125,a purple bottle,color_object,certain,,template: a [color] [object]
base_0126,a purple bicycle,color_object,certain,,template: a [color] [object]
base_0127,a purple car,color_object,certain,,template: a [color] [object]
base_0128,a purple rack,color_object,certain,,template: a [color] [object]
base_0129,a purple apple,color_object,certain,,template: a [color] [object]
base_0130,a purple banana,color_object,certain,,template: a [color] [object]
base_0131,a purple book,color_object,certain,,template: a [color] [object]
base_0132,a purple phone,color_object,certain,,template: a [color] [object]
base_0133,a purple laptop,color_object,certain,,template: a [color] [object]
base_0134,a purple camera,color_object,certain,,template: a [color] [object]
base_0135,a purple backpack,color_object,certain,,template: a [color] [object]
base_0136,a purple television,color_object,certain,,template: a [color] [object]
base_0137,an orange dog,color_object,certain,,template: a [color] [object]
base_0138,an orange cat,color_object,certain,,template: a [color] [object]
base_0139,an orange chair,color_object,certain,,template: a [color] [object]
base_0140,an orange table,color_object,certain,,template: a [color] [object]
base_0141,an orange cup,color_object,certain,,template: a [color] [object]
base_0142,an orange bottle,color_object,certain,,template: a [color] [object]
base_0143,an orange bicycle,color_object,certain,,template: a [color] [object]
base_0144,an orange car,color_object,certain,,template: a [color] [object]
base_0145,an orange rack,color_object,certain,,template: a [color] [object]
base_0146,an orange apple,color_object,certain,,template: a [color] [object]
base_0147,an orange banana,color_object,certain,,template: a [color] [object]
base_0148,an orange book,color_object,certain,,template: a [color] [object]
base_0149,an orange phone,color_object,certain,,template: a [color] [object]
base_0150,an orange laptop,color_object,certain,,template: a [color] [object]
base_0151,an orange camera,color_object,certain,,template: a [color] [object]
base_0152,an orange backpack,color_object,certain,,template: a [color] [object]
base_0153,an orange television,color_object,certain,,template: a [color] [object]
base_0154,a pink dog,color_object,certain,,template: a [color] [object]
base_0155,a pink cat,color_object,certain,,template: a [color] [object]
base_0156,a pink chair,color_object,certain,,template: a [color] [object]
base_0157,a pink table,color_object,certain,,template: a [color] [object]
base_0158,a pink cup,color_object,certain,,template: a [color] [object]
base_0159,a pink bottle,color_object,certain,,template: a [color] [object]
base_0160,a pink bicycle,color_object,certain,,template: a [color] [object]
base_0161,a pink car,color_object,certain,,template: a [color] [object]
base_0162,a pink rack,color_object,certain,,template: a [color] [object]
base_0163,a pink apple,color_object,certain,,template: a [color] [object]
base_0164,a pink banana,color_object,certain,,template: a [color] [object]
base_0165,a pink book,color_object,certain,,template: a [color] [object]
base_0166,a pink phone,color_object,certain,,template: a [color] [object]
base_0167,a pink laptop,color_object,certain,,template: a [color] [object]
base_0168,a pink camera,color_object,certain,,template: a [color] [object]
base_0169,a pink backpack,color_object,certain,,template: a [color] [object]
base_0170,a pink television,color_object,certain,,template: a [color] [object]
base_0171,a brown dog,color_object,certain,,template: a [color] [object]
base_0172,a brown cat,color_object,certain,,template: a [color] [object]
base_0173,a brown chair,color_object,certain,,template: a [color] [object]
base_0174,a brown table,color_object,certain,,template: a [color] [object]
base_0175,a brown cup,color_object,certain,,template: a [color] [object]
base_0176,a brown bottle,color_object,certain,,template: a [color] [object]
base_0177,a brown bicycle,color_object,certain,,template: a [color] [object]
base_0178,a brown car,color_object,certain,,template: a [color] [object]
base_0179,a brown rack,color_object,certain,,template: a [color] [object]
base_0180,a brown apple,color_object,certain,,template: a [color] [object]
base_0181,a brown banana,color_object,certain,,template: a [color] [object]
base_0182,a brown book,color_object,certain,,template: a [color] [object]
base_0183,a brown phone,color_object,certain,,template: a [color] [object]
base_0184,a brown laptop,color_object,certain,,template: a [color] [object]
base_0185,a brown camera,color_object,certain,,template: a [color] [object]
base_0186,a brown backpack,color_object,certain,,template: a [color] [object]
base_0187,a brown television,color_object,certain,,template: a [color] [object]
base_0188,a gray dog,color_object,certain,,template: a [color] [object]
base_0189,a gray cat,color_object,certain,,template: a [color] [object]
base_0190,a gray chair,color_object,certain,,template: a [color] [object]
base_0191,a gray table,color_object,certain,,template: a [color] [object]
base_0192,a gray cup,color_object,certain,,template: a [color] [object]
base_0193,a gray bottle,color_object,certain,,template: a [color] [object]
base_0194,a gray bicycle,color_object,certain,,template: a [color] [object]
base_0195,a gray car,color_object,certain,,template: a [color] [object]
base_0196,a gray rack,color_object,certain,,template: a [color] [object]
base_0197,a gray apple,color_object,certain,,template: a [color] [object]
base_0198,a gray banana,color_object,certain,,template: a [color] [object]
base_0199,a gray book,color_object,certain,,template: a [color] [object]
base_0200,a gray phone,color_object,certain,,template: a [color] [object]
base_0201,a gray laptop,color_object,certain,,template: a [color] [object]
base_0202,a gray camera,color_object,certain,,template: a [color] [object]
base_0203,a gray backpack,color_object,certain,,template: a [color] [object]
base_0204,a gray television,color_object,certain,,template: a [color] [object]
base_0205,a magenta dog,color_object,certain,,template: a [color] [object]
base_0206,a magenta cat,color_object,certain,,template: a [color] [object]
base_0207,a magenta chair,color_object,certain,,template: a [color] [object]
base_0208,a magenta table,color_object,certain,,template: a [color] [object]
base_0209,a magenta cup,color_object,certain,,template: a [color] [object]
base_0210,a magenta bottle,color_object,certain,,template: a [color] [object]
base_0211,a magenta bicycle,color_object,certain,,template: a [color] [object]
base_0212,a magenta car,color_object,certain,,template: a [color] [object]
base_0213,a magenta rack,color_object,certain,,template: a [color] [object]
base_0214,a magenta apple,color_object,certain,,template: a [color] [object]
base_0215,a magenta banana,color_object,certain,,template: a [color] [object]
base_0216,a magenta book,color_object,certain,,template: a [color] [object]
base_0217,a magenta phone,color_object,certain,,template: a [color] [object]
base_0218,a magenta laptop,color_object,certain,,template: a [color] [object]
base_0219,a magenta camera,color_object,certain,,template: a [color] [object]
base_0220,a magenta backpack,color_object,certain,,template: a [color] [object]
base_0221,a magenta television,color_object,certain,,template: a [color] [object]
base_0222,a lime dog,color_object,certain,,template: a [color] [object]
base_0223,a lime cat,color_object,certain,,template: a [color] [object]
base_0224,a lime chair,color_object,certain,,template: a [color] [object]
base_0225,a lime table,color_object,certain,,template: a [color] [object]
base_0226,a lime cup,color_object,certain,,template: a [color] [object]
base_0227,a lime bottle,color_object,certain,,template: a [color] [object]
base_0228,a lime bicycle,color_object,certain,,template: a [color] [object]
base_0229,a lime car,color_object,certain,,template: a [color] [object]
base_0230,a lime rack,color_object,certain,,template: a [color] [object]
base_0231,a lime apple,color_object,certain,,template: a [color] [object]
base_0232,a lime banana,color_object,certain,,template: a [color] [object]
base_0233,a lime book,color_object,certain,,template: a [color] [object]
base_0234,a lime phone,color_object,certain,,template: a [color] [object]
base_0235,a lime laptop,color_object,certain,,template: a [color] [object]
base_0236,a lime camera,color_object,certain,,template: a [color] [object]
base_0237,a lime backpack,color_object,certain,,template: a [color] [object]
base_0238,a lime television,color_object,certain,,template: a [color] [object]
base_0239,a cyan dog,color_object,certain,,template: a [color] [object]
base_0240,a cyan cat,color_object,certain,,template: a [color] [object]
base_0241,a cyan chair,color_object,certain,,template: a [color] [object]
base_0242,a cyan table,color_object,certain,,template: a [color] [object]
base_0243,a cyan cup,color_object,certain,,template: a [color] [object]
base_0244,a cyan bottle,color_object,certain,,template: a [color] [object]
base_0245,a cyan bicycle,color_object,certain,,template: a [color] [object]
base_0246,a cyan car,color_object,certain,,template: a [color] [object]
base_0247,a cyan rack,color_object,certain,,template: a [color] [object]
base_0248,a cyan apple,color_object,certain,,template: a [color] [object]
base_0249,a cyan banana,color_object,certain,,template: a [color] [object]
base_0250,a cyan book,color_object,certain,,template: a [color] [object]
base_0251,a cyan phone,color_object,certain,,template: a [color] [object]
base_0252,a cyan laptop,color_object,certain,,template: a [color] [object]
base_0253,a cyan camera,color_object,certain,,template: a [color] [object]
base_0254,a cyan backpack,color_object,certain,,template: a [color] [object]
base_0255,a cyan television,color_object,certain,,template: a [color] [object]
base_0256,a small dog,attribute_object,certain,,template: a [attribute] [object]
base_0257,a small cat,attribute_object,certain,,template: a [attribute] [object]
base_0258,a small chair,attribute_object,certain,,template: a [attribute] [object]
base_0259,a small table,attribute_object,certain,,template: a [attribute] [object]
base_0260,a small cup,attribute_object,certain,,template: a [attribute] [object]
base_0261,a small bottle,attribute_object,certain,,template: a [attribute] [object]
base_0262,a small bicycle,attribute_object,certain,,template: a [attribute] [object]
base_0263,a small car,attribute_object,certain,,template: a [attribute] [object]
base_0264,a small rack,attribute_object,certain,,template: a [attribute] [object]
base_0265,a small apple,attribute_object,certain,,template: a [attribute] [object]
base_0266,a small banana,attribute_object,certain,,template: a [attribute] [object]
base_0267,a small book,attribute_object,certain,,template: a [attribute] [object]
base_0268,a small phone,attribute_object,certain,,template: a [attribute] [object]
base_0269,a small laptop,attribute_object,certain,,template: a [attribute] [object]
base_0270,a small camera,attribute_object,certain,,template: a [attribute] [object]
base_0271,a small backpack,attribute_object,certain,,template: a [attribute] [object]
base_0272,a small television,attribute_object,certain,,template: a [attribute] [object]
base_0273,a big dog,attribute_object,certain,,template: a [attribute] [object]
base_0274,a big cat,attribute_object,certain,,template: a [attribute] [object]
base_0275,a big chair,attribute_object,certain,,template: a [attribute] [object]
base_0276,a big table,attribute_object,certain,,template: a [attribute] [object]
base_0277,a big cup,attribute_object,certain,,template: a [attribute] [object]
base_0278,a big bottle,attribute_object,certain,,template: a [attribute] [object]
base_0279,a big bicycle,attribute_object,certain,,template: a [attribute] [object]
base_0280,a big car,attribute_object,certain,,template: a [attribute] [object]
base_0281,a big rack,attribute_object,certain,,template: a [attribute] [object]
base_0282,a big apple,attribute_object,certain,,template: a [attribute] [object]
base_0283,a big banana,attribute_object,certain,,template: a [attribute] [object]
base_0284,a big book,attribute_object,certain,,template: a [attribute] [object]
base_0285,a big phone,attribute_object,certain,,template: a [attribute] [object]
base_0286,a big laptop,attribute_object,certain,,template: a [attribute] [object]
base_0287,a big camera,attribute_object,certain,,template: a [attribute] [object]
base_0288,a big backpack,attribute_object,certain,,template: a [attribute] [object]
base_0289,a big television,attribute_object,certain,,template: a [attribute] [object]
base_0290,an old dog,attribute_object,certain,,template: a [attribute] [object]
base_0291,an old cat,attribute_object,certain,,template: a [attribute] [object]
base_0292,an old chair,attribute_object,certain,,template: a [attribute] [object]
base_0293,an old table,attribute_object,certain,,template: a [attribute] [object]
base_0294,an old cup,attribute_object,certain,,template: a [attribute] [object]
base_0295,an old bottle,attribute_object,certain,,template: a [attribute] [object]
base_0296,an old bicycle,attribute_object,certain,,template: a [attribute] [object]
base_0297,an old car,attribute_object,certain,,template: a [attribute] [object]
base_0298,an old rack,attribute_object,certain,,template: a [attribute] [object]
base_0299,an old apple,attribute_object,certain,,template: a [attribute] [object]
base_0300,an old banana,attribute_object,certain,,template: a [attribute] [object]
base_0301,an old book,attribute_object,certain,,template: a [attribute] [object]
base_0302,an old phone,attribute_object,certain,,template: a [attribute] [object]
base_0303,an old laptop,attribute_object,certain,,template: a [attribute] [object]
base_0304,an old camera,attribute_object,certain,,template: a [attribute] [object]
base_0305,an old backpack,attribute_object,certain,,template: a [attribute] [object]
base_0306,an old television,attribute_object,certain,,template: a [attribute] [object]
base_0307,a new dog,attribute_object,certain,,template: a [attribute] [object]
base_0308,a new cat,attribute_object,certain,,template: a [attribute] [object]
base_0309,a new chair,attribute_object,certain,,template: a [attribute] [object]
base_0310,a new table,attribute_object,certain,,template: a [attribute] [object]
base_0311,a new cup,attribute_object,certain,,template: a [attribute] [object]
base_0312,a new bottle,attribute_object,certain,,template: a [attribute] [object]
base_0313,a new bicycle,attribute_object,certain,,template: a [attribute] [object]
base_0314,a new car,attribute_object,certain,,template: a [attribute] [object]
base_0315,a new rack,attribute_object,certain,,template: a [attribute] [object]
base_0316,a new apple,attribute_object,certain,,template: a [attribute] [object]
base_0317,a new banana,attribute_object,certain,,template: a [attribute] [object]
base_0318,a new book,attribute_object,certain,,template: a [attribute] [object]
base_0319,a new phone,attribute_object,certain,,template: a [attribute] [object]
base_0320,a new laptop,attribute_object,certain,,template: a [attribute] [object]
base_0321,a new camera,attribute_object,certain,,template: a [attribute] [object]
base_0322,a new backpack,attribute_object,certain,,template: a [attribute] [object]
base_0323,a new television,attribute_object,certain,,template: a [attribute] [object]
base_0324,a wooden dog,attribute_object,certain,,template: a [attribute] [object]
base_0325,a wooden cat,attribute_object,certain,,template: a [attribute] [object]
base_0326,a wooden chair,attribute_object,certain,,template: a [attribute] [object]
base_0327,a wooden table,attribute_object,certain,,template: a [attribute] [object]
base_0328,a wooden cup,attribute_object,certain,,template: a [attribute] [object]
base_0329,a wooden bottle,attribute_object,certain,,template: a [attribute] [object]
base_0330,a wooden bicycle,attribute_object,certain,,template: a [attribute] [object]
base_0331,a wooden car,attribute_object,certain,,template: a [attribute] [object]
base_0332,a wooden rack,attribute_object,certain,,template: a [attribute] [object]
base_0333,a wooden apple,attribute_object,certain,,template: a [attribute] [object]
base_0334,a wooden banana,attribute_object,certain,,template: a [attribute] [object]
base_0335,a wooden book,attribute_object,certain,,template: a [attribute] [object]
base_0336,a wooden phone,attribute_object,certain,,template: a [attribute] [object]
base_0337,a wooden laptop,attribute_object,certain,,template: a [attribute] [object]
base_0338,a wooden camera,attribute_object,certain,,template: a [attribute] [object]
base_0339,a wooden backpack,attribute_object,certain,,template: a [attribute] [object]
base_0340,a wooden television,attribute_object,certain,,template: a [attribute] [object]
base_0341,a plastic dog,attribute_object,certain,,template: a [attribute] [object]
base_0342,a plastic cat,attribute_object,certain,,template: a [attribute] [object]
base_0343,a plastic chair,attribute_object,certain,,template: a [attribute] [object]
base_0344,a plastic table,attribute_object,certain,,template: a [attribute] [object]
base_0345,a plastic cup,attribute_object,certain,,template: a [attribute] [object]
base_0346,a plastic bottle,attribute_object,certain,,template: a [attribute] [object]
base_0347,a plastic bicycle,attribute_object,certain,,template: a [attribute] [object]
base_0348,a plastic car,attribute_object,certain,,template: a [attribute] [object]
base_0349,a plastic rack,attribute_object,certain,,template: a [attribute] [object]
base_0350,a plastic apple,attribute_object,certain,,template: a [attribute] [object]
base_0351,a plastic banana,attribute_object,certain,,template: a [attribute] [object]
base_0352,a plastic book,attribute_object,certain,,template: a [attribute] [object]
base_0353,a plastic phone,attribute_object,certain,,template: a [attribute] [object]
base_0354,a plastic laptop,attribute_object,certain,,template: a [attribute] [object]
base_0355,a plastic camera,attribute_object,certain,,template: a [attribute] [object]
base_0356,a plastic backpack,attribute_object,certain,,template: a [attribute] [object]
base_0357,a plastic television,attribute_object,certain,,template: a [attribute] [object]
base_0358,a glass dog,attribute_object,certain,,template: a [attribute] [object]
base_0359,a glass cat,attribute_object,certain,,template: a [attribute] [object]
base_0360,a glass chair,attribute_object,certain,,template: a [attribute] [object]
base_0361,a glass table,attribute_object,certain,,template: a [attribute] [object]
base_0362,a glass cup,attribute_object,certain,,template: a [attribute] [object]
base_0363,a glass bottle,attribute_object,certain,,template: a [attribute] [object]
