prompt_id,prompt_text,template_type,category,subcategory,base_prompt_id,source_prompt_text,generation_method,contradiction
unc_adv_00001,a square circle,a_plus_concept,uncertain,clear_factual_contradiction,,square circle,logical_contradiction_template,square circle
unc_adv_00002,a one-sided polygon,a_plus_concept,uncertain,clear_factual_contradiction,,one-sided polygon,logical_contradiction_template,one-sided polygon
unc_adv_00003,an edgeless polygon,a_plus_concept,uncertain,clear_factual_contradiction,,edgeless polygon,logical_contradiction_template,edgeless polygon
unc_adv_00004,a scalene equilateral triangle,a_plus_concept,uncertain,clear_factual_contradiction,,scalene equilateral triangle,logical_contradiction_template,scalene equilateral triangle
unc_adv_00005,a finite unbounded region,a_plus_concept,uncertain,clear_factual_contradiction,,finite unbounded region,logical_contradiction_template,finite unbounded region
unc_adv_00006,a triangular sphere,a_plus_concept,uncertain,clear_factual_contradiction,,triangular sphere,logical_contradiction_template,triangular sphere
unc_adv_00007,a non three-sided triangle,a_plus_concept,uncertain,clear_factual_contradiction,,non three-sided triangle,logical_contradiction_template,non three-sided triangle
unc_adv_00008,a rectangular circle,a_plus_concept,uncertain,clear_factual_contradiction,,rectangular circle,logical_contradiction_template,rectangular circle
unc_adv_00009,a triangular circle,a_plus_concept,uncertain,clear_factual_contradiction,,triangular circle,logical_contradiction_template,triangular circle
unc_adv_00010,a two-dimensional volume,a_plus_concept,uncertain,clear_factual_contradiction,,two-dimensional volume,logical_contradiction_template,two-dimensional volume
unc_adv_00011,a one-dimensional surface,a_plus_concept,uncertain,clear_factual_contradiction,,one-dimensional surface,logical_contradiction_template,one-dimensional surface
unc_adv_00012,an obtuse right angle,a_plus_concept,uncertain,clear_factual_contradiction,,obtuse right angle,logical_contradiction_template,obtuse right angle
unc_adv_00013,an acute obtuse angle,a_plus_concept,uncertain,clear_factual_contradiction,,acute obtuse angle,logical_contradiction_template,acute obtuse angle
unc_adv_00014,a convergent divergent series,a_plus_concept,uncertain,clear_factual_contradiction,,convergent divergent series,logical_contradiction_template,convergent divergent series
unc_adv_00015,a continuous discrete function,a_plus_concept,uncertain,clear_factual_contradiction,,continuous discrete function,logical_contradiction_template,continuous discrete function
unc_adv_00016,a bijective non-invertible function,a_plus_concept,uncertain,clear_factual_contradiction,,bijective non-invertible function,logical_contradiction_template,bijective non-invertible function
unc_adv_00017,a square sphere,a_plus_concept,uncertain,clear_factual_contradiction,,square sphere,logical_contradiction_template,square sphere
unc_adv_00018,a circular cube,a_plus_concept,uncertain,clear_factual_contradiction,,circular cube,logical_contradiction_template,circular cube
unc_adv_00019,a rectangular sphere,a_plus_concept,uncertain,clear_factual_contradiction,,rectangular sphere,logical_contradiction_template,rectangular sphere
unc_adv_00020,a dimensionless cube,a_plus_concept,uncertain,clear_factual_contradiction,,dimensionless cube,logical_contradiction_template,dimensionless cube
unc_adv_00021,a parallel intersecting lines,a_plus_concept,uncertain,clear_factual_contradiction,,parallel intersecting lines,logical_contradiction_template,parallel intersecting lines
unc_adv_00022,a perpendicular parallel lines,a_plus_concept,uncertain,clear_factual_contradiction,,perpendicular parallel lines,logical_contradiction_template,perpendicular parallel lines
unc_adv_00023,a curved straight line,a_plus_concept,uncertain,clear_factual_contradiction,,curved straight line,logical_contradiction_template,curved straight line
unc_adv_00024,a zero-dimensional solid,a_plus_concept,uncertain,clear_factual_contradiction,,zero-dimensional solid,logical_contradiction_template,zero-dimensional solid
unc_adv_00025,a two-sided triangle,a_plus_concept,uncertain,clear_factual_contradiction,,two-sided triangle,logical_contradiction_template,two-sided triangle
unc_adv_00026,an uncountable finite set,a_plus_concept,uncertain,clear_factual_contradiction,,uncountable finite set,logical_contradiction_template,uncountable finite set
unc_adv_00027,an open closed interval,a_plus_concept,uncertain,clear_factual_contradiction,,open closed interval,logical_contradiction_template,open closed interval
unc_adv_00028,an acyclic cycle,a_plus_concept,uncertain,clear_factual_contradiction,,acyclic cycle,logical_contradiction_template,acyclic cycle
unc_adv_00029,an even odd integer,a_plus_concept,uncertain,clear_factual_contradiction,,even odd integer,logical_contradiction_template,even odd integer
unc_adv_00030,a rational irrational number,a_plus_concept,uncertain,clear_factual_contradiction,,rational irrational number,logical_contradiction_template,rational irrational number
unc_adv_00031,a negative natural number,a_plus_concept,uncertain,clear_factual_contradiction,,negative natural number,logical_contradiction_template,negative natural number
unc_adv_00032,an empty set with elements,a_plus_concept,uncertain,clear_factual_contradiction,,empty set with elements,logical_contradiction_template,empty set with elements
unc_adv_00033,an irrational integer,a_plus_concept,uncertain,clear_factual_contradiction,,irrational integer,logical_contradiction_template,irrational integer
unc_adv_00034,a disconnected connected graph,a_plus_concept,uncertain,clear_factual_contradiction,,disconnected connected graph,logical_contradiction_template,disconnected connected graph
unc_adv_00035,a singleton set of two elements,a_plus_concept,uncertain,clear_factual_contradiction,,singleton set of two elements,logical_contradiction_template,singleton set of two elements
unc_adv_00036,a smallest positive real number,a_plus_concept,uncertain,clear_factual_contradiction,,smallest positive real number,logical_contradiction_template,smallest positive real number
unc_adv_00037,a living corpse,a_plus_concept,uncertain,clear_factual_contradiction,,living corpse,logical_contradiction_template,living corpse
unc_adv_00038,a dead living being,a_plus_concept,uncertain,clear_factual_contradiction,,dead living being,logical_contradiction_template,dead living being
unc_adv_00039,a blind seer,a_plus_concept,uncertain,clear_factual_contradiction,,blind seer,logical_contradiction_template,blind seer
unc_adv_00040,a silent speaker,a_plus_concept,uncertain,clear_factual_contradiction,,silent speaker,logical_contradiction_template,silent speaker
unc_adv_00041,a speaking mute,a_plus_concept,uncertain,clear_factual_contradiction,,speaking mute,logical_contradiction_template,speaking mute
unc_adv_00042,a hearing deaf listener,a_plus_concept,uncertain,clear_factual_contradiction,,hearing deaf listener,logical_contradiction_template,hearing deaf listener
unc_adv_00043,a breathing corpse,a_plus_concept,uncertain,clear_factual_contradiction,,breathing corpse,logical_contradiction_template,breathing corpse
unc_adv_00044,a sterile reproduction,a_plus_concept,uncertain,clear_factual_contradiction,,sterile reproduction,logical_contradiction_template,sterile reproduction
unc_adv_00045,an asexual sexual reproduction,a_plus_concept,uncertain,clear_factual_contradiction,,asexual sexual reproduction,logical_contradiction_template,asexual sexual reproduction
unc_adv_00046,an anaerobic obligate aerobe,a_plus_concept,uncertain,clear_factual_contradiction,,anaerobic obligate aerobe,logical_contradiction_template,anaerobic obligate aerobe
unc_adv_00047,a non-dividing mitosis,a_plus_concept,uncertain,clear_factual_contradiction,,non-dividing mitosis,logical_contradiction_template,non-dividing mitosis
unc_adv_00048,a transparent opaque object,a_plus_concept,uncertain,clear_factual_contradiction,,transparent opaque object,logical_contradiction_template,transparent opaque object
unc_adv_00049,a rigid fluid,a_plus_concept,uncertain,clear_factual_contradiction,,rigid fluid,logical_contradiction_template,rigid fluid
unc_adv_00050,an illuminated shadow,a_plus_concept,uncertain,clear_factual_contradiction,,illuminated shadow,logical_contradiction_template,illuminated shadow
unc_adv_00051,a weightless mass,a_plus_concept,uncertain,clear_factual_contradiction,,weightless mass,logical_contradiction_template,weightless mass
unc_adv_00052,a sub-zero absolute temperature,a_plus_concept,uncertain,clear_factual_contradiction,,sub-zero absolute temperature,logical_contradiction_template,sub-zero absolute temperature
unc_adv_00053,an absolute zero warmth,a_plus_concept,uncertain,clear_factual_contradiction,,absolute zero warmth,logical_contradiction_template,absolute zero warmth
unc_adv_00054,a transparent darkness,a_plus_concept,uncertain,clear_factual_contradiction,,transparent darkness,logical_contradiction_template,transparent darkness
unc_adv_00055,a solid smoke,a_plus_concept,uncertain,clear_factual_contradiction,,solid smoke,logical_contradiction_template,solid smoke
unc_adv_00056,a liquid stone,a_plus_concept,uncertain,clear_factual_contradiction,,liquid stone,logical_contradiction_template,liquid stone
unc_adv_00057,a dry liquid,a_plus_concept,uncertain,clear_factual_contradiction,,dry liquid,logical_contradiction_template,dry liquid
unc_adv_00058,a colorless visible spectrum,a_plus_concept,uncertain,clear_factual_contradiction,,colorless visible spectrum,logical_contradiction_template,colorless visible spectrum
unc_adv_00059,a toneless melody,a_plus_concept,uncertain,clear_factual_contradiction,,toneless melody,logical_contradiction_template,toneless melody
unc_adv_00060,a voiceless vocal,a_plus_concept,uncertain,clear_factual_contradiction,,voiceless vocal,logical_contradiction_template,voiceless vocal
unc_adv_00061,a silent phoneme,a_plus_concept,uncertain,clear_factual_contradiction,,silent phoneme,logical_contradiction_template,silent phoneme
unc_adv_00062,a unison interval,a_plus_concept,uncertain,clear_factual_contradiction,,unison interval,logical_contradiction_template,unison interval
unc_adv_00063,a legal crime,a_plus_concept,uncertain,clear_factual_contradiction,,legal crime,logical_contradiction_template,legal crime
unc_adv_00064,a free prison,a_plus_concept,uncertain,clear_factual_contradiction,,free prison,logical_contradiction_template,free prison
unc_adv_00065,a hot ice,a_plus_concept,uncertain,clear_factual_contradiction,,hot ice,logical_contradiction_template,hot ice
unc_adv_00066,a cold flame,a_plus_concept,uncertain,clear_factual_contradiction,,cold flame,logical_contradiction_template,cold flame
unc_adv_00067,a circled cube,a_plus_concept,uncertain,ambiguous_concept_contradiction,,circled cube,logical_contradiction_template,circled cube
unc_adv_00068,a closed open surface,a_plus_concept,uncertain,ambiguous_concept_contradiction,,closed open surface,logical_contradiction_template,closed open surface
unc_adv_00069,a non-self-intersecting loop,a_plus_concept,uncertain,ambiguous_concept_contradiction,,non-self-intersecting loop,logical_contradiction_template,non-self-intersecting loop
unc_adv_00070,a false tautology,a_plus_concept,uncertain,ambiguous_concept_contradiction,,false tautology,logical_contradiction_template,false tautology
unc_adv_00071,a valid fallacy,a_plus_concept,uncertain,ambiguous_concept_contradiction,,valid fallacy,logical_contradiction_template,valid fallacy
unc_adv_00072,a non-self-intersecting figure-eight,a_plus_concept,uncertain,ambiguous_concept_contradiction,,non-self-intersecting figure-eight,logical_contradiction_template,non-self-intersecting figure-eight
unc_adv_00073,an integer fraction,a_plus_concept,uncertain,ambiguous_concept_contradiction,,integer fraction,logical_contradiction_template,integer fraction
unc_adv_00074,a real imaginary number,a_plus_concept,uncertain,ambiguous_concept_contradiction,,real imaginary number,logical_contradiction_template,real imaginary number
unc_adv_00075,a finite infinity,a_plus_concept,uncertain,ambiguous_concept_contradiction,,finite infinity,logical_contradiction_template,finite infinity
unc_adv_00076,an empty fullness,a_plus_concept,uncertain,ambiguous_concept_contradiction,,empty fullness,logical_contradiction_template,empty fullness
unc_adv_00077,a greatest integer,a_plus_concept,uncertain,ambiguous_concept_contradiction,,greatest integer,logical_contradiction_template,greatest integer
unc_adv_00078,a sound unsound argument,a_plus_concept,uncertain,ambiguous_concept_contradiction,,sound unsound argument,logical_contradiction_template,sound unsound argument
unc_adv_00079,an improper subset excluding itself,a_plus_concept,uncertain,ambiguous_concept_contradiction,,improper subset excluding itself,logical_contradiction_template,improper subset excluding itself
unc_adv_00080,a noun-less noun phrase,a_plus_concept,uncertain,ambiguous_concept_contradiction,,noun-less noun phrase,logical_contradiction_template,noun-less noun phrase
unc_adv_00081,a wordless sentence,a_plus_concept,uncertain,ambiguous_concept_contradiction,,wordless sentence,logical_contradiction_template,wordless sentence
unc_adv_00082,a verbless predicate,a_plus_concept,uncertain,ambiguous_concept_contradiction,,verbless predicate,logical_contradiction_template,verbless predicate
unc_adv_00083,a meaning-free semantic content,a_plus_concept,uncertain,ambiguous_concept_contradiction,,meaning-free semantic content,logical_contradiction_template,meaning-free semantic content
unc_adv_00084,a grammarless grammatical sentence,a_plus_concept,uncertain,ambiguous_concept_contradiction,,grammarless grammatical sentence,logical_contradiction_template,grammarless grammatical sentence
unc_adv_00085,a contentless proposition,a_plus_concept,uncertain,ambiguous_concept_contradiction,,contentless proposition,logical_contradiction_template,contentless proposition
unc_adv_00086,a meaningless meaning,a_plus_concept,uncertain,ambiguous_concept_contradiction,,meaningless meaning,logical_contradiction_template,meaningless meaning
unc_adv_00087,a voiceless whisper,a_plus_concept,uncertain,ambiguous_concept_contradiction,,voiceless whisper,logical_contradiction_template,voiceless whisper
unc_adv_00088,a sleeping insomniac,a_plus_concept,uncertain,ambiguous_concept_contradiction,,sleeping insomniac,logical_contradiction_template,sleeping insomniac
unc_adv_00089,an awake sleeper,a_plus_concept,uncertain,ambiguous_concept_contradiction,,awake sleeper,logical_contradiction_template,awake sleeper
unc_adv_00090,a seeing blind man,a_plus_concept,uncertain,ambiguous_concept_contradiction,,seeing blind man,logical_contradiction_template,seeing blind man
unc_adv_00091,a listening deaf person,a_plus_concept,uncertain,ambiguous_concept_contradiction,,listening deaf person,logical_contradiction_template,listening deaf person
unc_adv_00092,a watching blind observer,a_plus_concept,uncertain,ambiguous_concept_contradiction,,watching blind observer,logical_contradiction_template,watching blind observer
unc_adv_00093,a painless nociception,a_plus_concept,uncertain,ambiguous_concept_contradiction,,painless nociception,logical_contradiction_template,painless nociception
unc_adv_00094,a sighted blind spot,a_plus_concept,uncertain,ambiguous_concept_contradiction,,sighted blind spot,logical_contradiction_template,sighted blind spot
unc_adv_00095,a cold heat,a_plus_concept,uncertain,ambiguous_concept_contradiction,,cold heat,logical_contradiction_template,cold heat
unc_adv_00096,a frictionless grip,a_plus_concept,uncertain,ambiguous_concept_contradiction,,frictionless grip,logical_contradiction_template,frictionless grip
unc_adv_00097,a superconducting resistance,a_plus_concept,uncertain,ambiguous_concept_contradiction,,superconducting resistance,logical_contradiction_template,superconducting resistance
unc_adv_00098,a heavy light weight,a_plus_concept,uncertain,ambiguous_concept_contradiction,,heavy light weight,logical_contradiction_template,heavy light weight
unc_adv_00099,an instantaneous average,a_plus_concept,uncertain,ambiguous_concept_contradiction,,instantaneous average,logical_contradiction_template,instantaneous average
unc_adv_00100,an odorless perfume scent,a_plus_concept,uncertain,ambiguous_concept_contradiction,,odorless perfume scent,logical_contradiction_template,odorless perfume scent
unc_adv_00101,an invisible brightness,a_plus_concept,uncertain,ambiguous_concept_contradiction,,invisible brightness,logical_contradiction_template,invisible brightness
unc_adv_00102,a soundless music,a_plus_concept,uncertain,ambiguous_concept_contradiction,,soundless music,logical_contradiction_template,soundless music
unc_adv_00103,a standing run,a_plus_concept,uncertain,ambiguous_concept_contradiction,,standing run,logical_contradiction_template,standing run
unc_adv_00104,a noiseless transmission through noise,a_plus_concept,uncertain,ambiguous_concept_contradiction,,noiseless transmission through noise,logical_contradiction_template,noiseless transmission through noise
unc_adv_00105,a harmonic dissonance,a_plus_concept,uncertain,ambiguous_concept_contradiction,,harmonic dissonance,logical_contradiction_template,harmonic dissonance
unc_adv_00106,an ordered entropy,a_plus_concept,uncertain,ambiguous_concept_contradiction,,ordered entropy,logical_contradiction_template,ordered entropy
unc_adv_00107,a conscious unconsciousness,a_plus_concept,uncertain,ambiguous_concept_contradiction,,conscious unconsciousness,logical_contradiction_template,conscious unconsciousness
unc_adv_00108,a consensual dictatorship,a_plus_concept,uncertain,ambiguous_concept_contradiction,,consensual dictatorship,logical_contradiction_template,consensual dictatorship
unc_adv_00109,an oppressive freedom,a_plus_concept,uncertain,ambiguous_concept_contradiction,,oppressive freedom,logical_contradiction_template,oppressive freedom
unc_adv_00110,a single married person,a_plus_concept,uncertain,ambiguous_concept_contradiction,,single married person,logical_contradiction_template,single married person
unc_adv_00111,a widowed living husband,a_plus_concept,uncertain,ambiguous_concept_contradiction,,widowed living husband,logical_contradiction_template,widowed living husband
unc_adv_00112,a certain uncertainty,a_plus_concept,uncertain,ambiguous_concept_contradiction,,certain uncertainty,logical_contradiction_template,certain uncertainty
unc_adv_00113,an unchanging change,a_plus_concept,uncertain,ambiguous_concept_contradiction,,unchanging change,logical_contradiction_template,unchanging change
unc_adv_00114,a voluntary obligation,a_plus_concept,uncertain,ambiguous_concept_contradiction,,voluntary obligation,logical_contradiction_template,voluntary obligation
unc_adv_00115,a victimless crime with a victim,a_plus_concept,uncertain,ambiguous_concept_contradiction,,victimless crime with a victim,logical_contradiction_template,victimless crime with a victim
unc_adv_00116,a stateless citizen,a_plus_concept,uncertain,ambiguous_concept_contradiction,,stateless citizen,logical_contradiction_template,stateless citizen
unc_adv_00117,a married bachelor,a_plus_concept,uncertain,ambiguous_concept_contradiction,,married bachelor,logical_contradiction_template,married bachelor
unc_adv_00118,a colorblind color distinguisher,a_plus_concept,uncertain,ambiguous_concept_contradiction,,colorblind color distinguisher,logical_contradiction_template,colorblind color distinguisher
unc_adv_00119,an omnipotent limited being,a_plus_concept,uncertain,ambiguous_concept_contradiction,,omnipotent limited being,logical_contradiction_template,omnipotent limited being
unc_adv_00120,an omniscient ignorant mind,a_plus_concept,uncertain,ambiguous_concept_contradiction,,omniscient ignorant mind,logical_contradiction_template,omniscient ignorant mind
unc_adv_00121,a halted infinite loop,a_plus_concept,uncertain,ambiguous_concept_contradiction,,halted infinite loop,logical_contradiction_template,halted infinite loop
unc_adv_00122,a voluntary forced consent,a_plus_concept,uncertain,ambiguous_concept_contradiction,,voluntary forced consent,logical_contradiction_template,voluntary forced consent
unc_adv_00123,an identical distinct entities,a_plus_concept,uncertain,ambiguous_concept_contradiction,,identical distinct entities,logical_contradiction_template,identical distinct entities
unc_adv_00124,a humble arrogance,a_plus_concept,uncertain,ambiguous_concept_contradiction,,humble arrogance,logical_contradiction_template,humble arrogance
unc_adv_00125,a peaceful warfare,a_plus_concept,uncertain,ambiguous_concept_contradiction,,peaceful warfare,logical_contradiction_template,peaceful warfare
unc_adv_00126,a gentle violence,a_plus_concept,uncertain,ambiguous_concept_contradiction,,gentle violence,logical_contradiction_template,gentle violence
unc_adv_00127,a honest corruption,a_plus_concept,uncertain,ambiguous_concept_contradiction,,honest corruption,logical_contradiction_template,honest corruption
unc_adv_00128,a sacred profanity,a_plus_concept,uncertain,ambiguous_concept_contradiction,,sacred profanity,logical_contradiction_template,sacred profanity
unc_adv_00129,an identical non-identical twins,a_plus_concept,uncertain,ambiguous_concept_contradiction,,identical non-identical twins,logical_contradiction_template,identical non-identical twins
unc_adv_00130,a local global minimum,a_plus_concept,uncertain,ambiguous_concept_contradiction,,local global minimum,logical_contradiction_template,local global minimum
unc_adv_00131,a structured pure randomness,a_plus_concept,uncertain,ambiguous_concept_contradiction,,structured pure randomness,logical_contradiction_template,structured pure randomness
unc_adv_00132,a painless agony,a_plus_concept,uncertain,ambiguous_concept_contradiction,,painless agony,logical_contradiction_template,painless agony
unc_adv_00133,a blind precise observer,a_plus_concept,uncertain,ambiguous_concept_contradiction,,blind precise observer,logical_contradiction_template,blind precise observer
unc_adv_00134,an effortless laborious stillness,a_plus_concept,uncertain,ambiguous_concept_contradiction,,effortless laborious stillness,logical_contradiction_template,effortless laborious stillness
unc_adv_00135,a silent acoustic resonance,a_plus_concept,uncertain,ambiguous_concept_contradiction,,silent acoustic resonance,logical_contradiction_template,silent acoustic resonance
unc_adv_00136,a stationary moving reference,a_plus_concept,uncertain,ambiguous_concept_contradiction,,stationary moving reference,logical_contradiction_template,stationary moving reference
unc_adv_00137,an involuntary deliberate reflex,a_plus_concept,uncertain,ambiguous_concept_contradiction,,involuntary deliberate reflex,logical_contradiction_template,involuntary deliberate reflex
unc_adv_00138,a structured random noise,a_plus_concept,uncertain,ambiguous_concept_contradiction,,structured random noise,logical_contradiction_template,structured random noise
unc_adv_00139,a mute eloquent speaker,a_plus_concept,uncertain,ambiguous_concept_contradiction,,mute eloquent speaker,logical_contradiction_template,mute eloquent speaker
unc_adv_00140,a hollow substantial argument,a_plus_concept,uncertain,ambiguous_concept_contradiction,,hollow substantial argument,logical_contradiction_template,hollow substantial argument
unc_adv_00141,an absent minded awarenes,a_plus_concept,uncertain,ambiguous_concept_contradiction,,absent minded awarenes,logical_contradiction_template,absent minded awarenes
unc_adv_00142,a predictable pure chaos,a_plus_concept,uncertain,ambiguous_concept_contradiction,,predictable pure chaos,logical_contradiction_template,predictable pure chaos
unc_adv_00143,an odorless distinct aroma,a_plus_concept,uncertain,ambiguous_concept_contradiction,,odorless distinct aroma,logical_contradiction_template,odorless distinct aroma
unc_adv_00144,a rigid perfectly flowing liquid,a_plus_concept,uncertain,ambiguous_concept_contradiction,,rigid perfectly flowing liquid,logical_contradiction_template,rigid perfectly flowing liquid
unc_adv_00145,a dark vivid illumination,a_plus_concept,uncertain,ambiguous_concept_contradiction,,dark vivid illumination,logical_contradiction_template,dark vivid illumination
unc_adv_00146,a faithful betrayal,a_plus_concept,uncertain,ambiguous_concept_contradiction,,faithful betrayal,logical_contradiction_template,faithful betrayal
unc_adv_00147,a gentle extreme violence,a_plus_concept,uncertain,ambiguous_concept_contradiction,,gentle extreme violence,logical_contradiction_template,gentle extreme violence
unc_adv_00148,a humble complete arrogance,a_plus_concept,uncertain,ambiguous_concept_contradiction,,humble complete arrogance,logical_contradiction_template,humble complete arrogance
unc_adv_00149,a brave cowardice,a_plus_concept,uncertain,ambiguous_concept_contradiction,,brave cowardice,logical_contradiction_template,brave cowardice
unc_adv_00150,a joyful profound grief,a_plus_concept,uncertain,ambiguous_concept_contradiction,,joyful profound grief,logical_contradiction_template,joyful profound grief
unc_adv_00151,a reckless careful action,a_plus_concept,uncertain,ambiguous_concept_contradiction,,reckless careful action,logical_contradiction_template,reckless careful action
unc_adv_00152,an old fresh novelty,a_plus_concept,uncertain,ambiguous_concept_contradiction,,old fresh novelty,logical_contradiction_template,old fresh novelty
unc_adv_00153,a shallow deep wisdom,a_plus_concept,uncertain,ambiguous_concept_contradiction,,shallow deep wisdom,logical_contradiction_template,shallow deep wisdom
unc_adv_00154,a joyful desolation,a_plus_concept,uncertain,ambiguous_concept_contradiction,,joyful desolation,logical_contradiction_template,joyful desolation
unc_adv_00155,a safe danger,a_plus_concept,uncertain,ambiguous_concept_contradiction,,safe danger,logical_contradiction_template,safe danger
unc_adv_00156,a gentle wrestling,a_plus_concept,uncertain,ambiguous_concept_contradiction,,gentle wrestling,logical_contradiction_template,gentle wrestling
unc_adv_00157,a sharp softness,a_plus_concept,uncertain,ambiguous_concept_contradiction,,sharp softness,logical_contradiction_template,sharp softness
unc_adv_00158,a living fossil,a_plus_concept,uncertain,ambiguous_concept_contradiction,,living fossil,logical_contradiction_template,living fossil
unc_adv_00159,a merciful tyrant,a_plus_concept,uncertain,ambiguous_concept_contradiction,,merciful tyrant,logical_contradiction_template,merciful tyrant
unc_adv_00160,a mortal immortality,a_plus_concept,uncertain,ambiguous_concept_contradiction,,mortal immortality,logical_contradiction_template,mortal immortality
unc_adv_00161,a finite eternity,a_plus_concept,uncertain,ambiguous_concept_contradiction,,finite eternity,logical_contradiction_template,finite eternity
unc_adv_00162,a warm indifference,a_plus_concept,uncertain,ambiguous_concept_contradiction,,warm indifference,logical_contradiction_template,warm indifference
unc_adv_00163,a dark radiance,a_plus_concept,uncertain,ambiguous_concept_contradiction,,dark radiance,logical_contradiction_template,dark radiance
unc_adv_00164,a heavy grace,a_plus_concept,uncertain,ambiguous_concept_contradiction,,heavy grace,logical_contradiction_template,heavy grace
unc_adv_00165,a gentle fierce storm,a_plus_concept,uncertain,ambiguous_concept_contradiction,,gentle fierce storm,logical_contradiction_template,gentle fierce storm
unc_adv_00166,a rough fine silk,a_plus_concept,uncertain,ambiguous_concept_contradiction,,rough fine silk,logical_contradiction_template,rough fine silk
unc_adv_00167,a deep flat surface,a_plus_concept,uncertain,ambiguous_concept_contradiction,,deep flat surface,logical_contradiction_template,deep flat surface
unc_adv_00168,a smooth sharp edge,a_plus_concept,uncertain,ambiguous_concept_contradiction,,smooth sharp edge,logical_contradiction_template,smooth sharp edge
unc_adv_00169,a gentle fierce roar,a_plus_concept,uncertain,ambiguous_concept_contradiction,,gentle fierce roar,logical_contradiction_template,gentle fierce roar
